abv,ibu,beer,style,brewery_id,ounces,style2,brewery,city,state,label,brewery_cleaned,brewery_latitude,brewery_longitude,cat_id,cat_name
0.05,,Pub Beer,american pale lager,408,12.0,,10 Barrel Brewing Company,Bend,OR,Pub Beer (10 Barrel Brewing Company),10barrelbrewingcompany,44.0581728,-121.3153096,8,North American Lager
0.066,,Devil's Cup,american pale ale (apa),177,12.0,American Pale Ale (APA),18th Street Brewery,Gary,IN,Devil's Cup (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,3,North American Ale
0.071,,Rise of the Phoenix,american ipa,177,12.0,American IPA,18th Street Brewery,Gary,IN,Rise of the Phoenix (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,8,North American Lager
0.09,,Sinister,american double / imperial ipa,177,12.0,American Double / Imperial IPA,18th Street Brewery,Gary,IN,Sinister (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,3,North American Ale
0.075,,Sex and Candy,american ipa,177,12.0,American IPA,18th Street Brewery,Gary,IN,Sex and Candy (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,8,North American Lager
0.077,,Black Exodus,oatmeal stout,177,12.0,,18th Street Brewery,Gary,IN,Black Exodus (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,1,British Ale
0.045,,Lake Street Express,american pale ale (apa),177,12.0,American Pale Ale (APA),18th Street Brewery,Gary,IN,Lake Street Express (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,3,North American Ale
0.065,,Foreman,american porter,177,12.0,,18th Street Brewery,Gary,IN,Foreman (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,2,Irish Ale
0.055,,Jade,american pale ale (apa),177,12.0,American Pale Ale (APA),18th Street Brewery,Gary,IN,Jade (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,3,North American Ale
0.086,,Cone Crusher,american double / imperial ipa,177,12.0,American Double / Imperial IPA,18th Street Brewery,Gary,IN,Cone Crusher (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,3,North American Ale
0.072,,Sophomoric Saison,saison / farmhouse ale,177,12.0,,18th Street Brewery,Gary,IN,Sophomoric Saison (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,5,Belgian and French Ale
0.073,,Regional Ring Of Fire,saison / farmhouse ale,177,12.0,,18th Street Brewery,Gary,IN,Regional Ring Of Fire (18th Street Brewery),18thstreetbrewery,41.6020962,-87.3370646,5,Belgian and French Ale
